gid	AmmoniaEX	CyanateEX	GlutathioneEX	GlycineEX	GuanineEX	GuanosineEX	L_AlanineEX	L_ArginineEX	L_AspartateEX	L_CystineEX	L_GlutamateEX	L_GlutamineEX	L_LeucineEX	L_SerineEX	L_ValineEX	UreaEX
PMM0572	0.0034654859471354815	0.003103329097659459	0.004830249535032439	0.003576816782813361	0.0018525582254503273	0.009687859235859863	0.004098635313344407	0.0033362896466887265	0.007801332176510556	0.004098635313344523	0.0034232107744154466	0.0042911901252074575	0.0036602589609806757	0.004187345443077809	0.0026373834635001567	0.003465485947135487
PMM0578	0.012764486063232086	0.011430547294367124	0.017791344074795185	0.01317455291160379	0.0068235606811889934	0.035683464335183185	0.015096576391746715	0.012288615030531207	0.028734785643561588	0.015096576391747154	0.012608773167194628	0.015805816957118468	0.013481896971441292	0.015423323991339655	0.009714321447782346	0.01276448606323211
PMM0595	0.027354222941161098	0.024495599547115037	0.037532299234488226	0.027792799694061544	0.014394860796036952	3.9744316842706753	0.032351879599645625	0.026334433953607118	0.06157848649491801	0.03235187959958876	0.4007647793256987	0.1080288790396794	0.028891630544303125	0.041530842481915235	0.02081773706272053	0.02735422294115807
PMM0609	0.0	0.0	0.0	0.0	0.0	9.48899489426966	0.0	0.0	0.3300253017004463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0611	0.006408887740804826	0.0057391338799432905	0.008932809857643718	0.006614777142416536	0.0034260239058333665	0.017916218169248793	0.0075798009325171835	0.006169958886750472	0.01442737408567829	0.007579800932517397	0.006330706256211073	0.007935901690681313	0.006769090725238765	0.0077438567883499135	0.004877438490552541	0.006408887740804835
PMM0628	0.0	0.0	0.6907364029092522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4766541074466784	0.5219739653017457	0.0	0.0	0.0	0.0
PMM0642	-0.07015052512268447	-0.06281952059544932	-0.09777691975239773	-0.07240415324419108	-0.03750063752043496	-0.028689427978767713	-0.08296712896935836	-0.06753525313529134	-0.15791942520819438	-0.08296712896936072	-0.16950346888666357	-0.012707842573170045	-0.07409324178909088	-0.07576877887757408	-0.05338755884073053	-0.07015052512268455
PMM0661	0.0009484019937127913	0.0008492902722055346	0.001321897811457481	0.000978869982366991	0.000506990921702743	0.0026512832988669385	0.0011216764292149416	0.0009130447506614089	0.002134996102331362	0.0011216764292149735	0.0009368325172515248	0.0011743730409616603	0.0010017056623670883	0.001145953793251354	0.0007217746004817107	0.0009484019937127929
PMM0674	0.25657983978626286	0.22976624197241394	0.35762506924916143	0.26482262259284817	0.13383213206040206	0.532450090538693	0.30345735290307807	0.21040426134201348	0.0	0.3034573529030185	0.2534498438178272	0.3177138478164623	0.27100056734063455	0.3100253295797877	0.19526826449240173	0.25657983978625737
PMM0683	0.01409829586534539	0.012624968750057607	0.019650429431013847	0.014551212161724395	0.0042078353346135895	0.02200466136482368	0.016674075201376443	0.013572699254633202	0.031737392921470584	0.016674075201338536	0.013926311935315985	0.017457427016754366	0.014890671773863759	0.017034965903062093	0.010729407923179887	0.014098295865343365
PMM0768	0.02477658867144885	0.02218733815048449	0.0345340041008907	0.02557255159385502	0.013244916829004109	0.06926362047210251	0.029303307767543866	0.023852896109172534	0.05577584251539437	0.029303307767544695	1.2883488808777044	0.030679983778647744	0.026169123779643345	0.02993754332034194	0.018856046811569976	0.02477658867144889
PMM0769	0.0	0.0	0.0	0.0	0.0	9.48899489426966	0.0	0.0	0.3300253017004463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
